Page,Rank,Title
1,1,The Godfather
1,2,GoodFellas
1,3,Citizen Kane
1,4,Seven Samurai
1,5,The Godfather Part II
1,6,Apocalypse Now
1,7,2001: A Space Odyssey
1,8,Singin' in the Rain
1,9,Tokyo Story
1,10,Vertigo
1,11,The Dark Knight
1,12,Pulp Fiction
1,13,The Empire Strikes Back
1,14,Do the Right Thing
1,15,The Rules of the Game
1,16,Psycho
1,17,City Lights
1,18,In the Mood for Love
1,19,It's a Wonderful Life
1,20,Persona
1,21,The Shawshank Redemption
1,22,Taxi Driver
1,23,The Lord of the Rings: The Return of the King
1,24,Jaws
1,25,Sunrise: A Song of Two Humans
1,26,Schindler's List
1,27,The Passion of Joan of Arc
1,28,"The Good, the Bad and the Ugly"
1,29,Raiders of the Lost Ark
1,30,Saving Private Ryan
1,31,Some Like It Hot
1,32,Star Wars
1,33,The 400 Blows
1,34,The Lord of the Rings: The Fellowship of the Ring
1,35,The Night of the Hunter
1,36,The Shining
1,37,Casablanca
1,38,The Silence of the Lambs
1,39,Mulholland Drive
1,40,There Will Be Blood
1,41,Gladiator
1,42,Beau Travail
1,43,8½
1,44,Breathless
1,45,The Lord of the Rings: The Two Towers
1,46,12 Angry Men
1,47,Parasite
1,48,The Searchers
1,49,Spirited Away
1,50,Alien
1,51,The Red Shoes
1,52,Bicycle Thieves
1,53,The Wizard of Oz
1,54,The Apartment
1,55,Andrei Rublev
1,56,A Woman Under the Influence
1,57,Back to the Future
1,58,Close-Up
1,59,Blade Runner
1,60,La Dolce Vita
1,61,Barry Lyndon
1,62,Forrest Gump
1,63,Inception
1,64,Chinatown
1,65,Lawrence of Arabia
1,66,Pather Panchali
1,67,Cinema Paradiso
1,68,North by Northwest
1,69,Rashomon
1,70,L'Atalante
1,71,M
1,72,Once Upon a Time in the West
1,73,One Flew Over the Cuckoo's Nest
1,74,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles"
1,75,Terminator 2: Judgment Day
1,76,Se7en
1,77,Come and See
1,78,Fight Club
1,79,The General
1,80,Stalker
1,81,Contempt
1,82,The Battle of Algiers
1,83,Annie Hall
1,84,Whiplash
1,85,Jurassic Park
1,86,The Matrix
1,87,Interstellar
1,88,Rear Window
1,89,Raging Bull
1,90,Modern Times
1,91,All About Eve
1,92,To Kill a Mockingbird
1,93,Battleship Potemkin
1,94,PlayTime
1,95,City of God
1,96,The Piano
1,97,La Haine
1,98,The Green Mile
1,99,Sunset Boulevard
1,100,Man with a Movie Camera
2,1,Mirror
2,2,Notorious
2,3,Harakiri
2,4,Aliens
2,5,The Lion King
2,6,Die Hard
2,7,Fanny and Alexander
2,8,Life Is Beautiful
2,9,Indiana Jones and the Last Crusade
2,10,La Jetée
2,11,Shoah
2,12,Sansho the Bailiff
2,13,On the Waterfront
2,14,Gone with the Wind
2,15,Fargo
2,16,Moonlight
2,17,Double Indemnity
2,18,Portrait of a Lady on Fire
2,19,Au Hasard Balthazar
2,20,Toy Story
2,21,L'Avventura
2,22,Grave of the Fireflies
2,23,Spider-Man: Across the Spider-Verse
2,24,Léon: The Professional
2,25,Mad Max: Fury Road
2,26,Avengers: Infinity War
2,27,Cléo from 5 to 7
2,28,Ghostbusters
2,29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
2,30,Ordet
2,31,The Princess Bride
2,32,Spider-Man: Into the Spider-Verse
2,33,The Mother and the Whore
2,34,Dune: Part Two
2,35,A Brighter Summer Day
2,36,Boogie Nights
2,37,Meshes of the Afternoon
2,38,Rosemary's Baby
2,39,Blue Velvet
2,40,Paths of Glory
2,41,Late Spring
2,42,Breaking the Waves
2,43,High and Low
2,44,Eternal Sunshine of the Spotless Mind
2,45,Ikiru
2,46,The Departed
2,47,The Great Dictator
2,48,Good Will Hunting
2,49,E.T. the Extra-Terrestrial
2,50,A Man Escaped
2,51,Kes
2,52,Mean Streets
2,53,Return of the Jedi
2,54,Ugetsu
2,55,The Thing
2,56,Yi Yi
2,57,Heat
2,58,Avengers: Endgame
2,59,The Usual Suspects
2,60,Vagabond
2,61,The Lives of Others
2,62,The Pianist
2,63,Ali: Fear Eats the Soul
2,64,Up
2,65,Brokeback Mountain
2,66,American History X
2,67,Inglourious Basterds
2,68,Titanic
2,69,Nashville
2,70,Killer of Sheep
2,71,The Terminator
2,72,The Texas Chain Saw Massacre
2,73,The Truman Show
2,74,The Leopard
2,75,Waiting for Guffman
2,76,The Seventh Seal
2,77,Lost in Translation
2,78,The Deer Hunter
2,79,American Beauty
2,80,Satantango
2,81,King Kong
2,82,The Earrings of Madame de...
2,83,Bonnie and Clyde
2,84,Pickpocket
2,85,"Rome, Open City"
2,86,WALL·E
2,87,A Matter of Life and Death
2,88,A Star Is Born
2,89,Sherlock Jr.
2,90,Braveheart
2,91,News from Home
2,92,Pierrot le Fou
2,93,The Third Man
2,94,Sans Soleil
2,95,The Dark Knight Rises
2,96,Django Unchained
2,97,Intolerance: Love's Struggle Throughout the Ages
2,98,Oldboy
2,99,Daughters of the Dust
2,100,Groundhog Day
3,1,Metropolis
3,2,Pan's Labyrinth
3,3,The Ascent
3,4,Wanda
3,5,Don't Look Now
3,6,My Neighbor Totoro
3,7,The Goonies
3,8,The Sound of Music
3,9,Touki Bouki
3,10,Requiem for a Dream
3,11,Scenes from a Marriage
3,12,Scarface
3,13,Witness for the Prosecution
3,14,Princess Mononoke
3,15,Get Out
3,16,"Paris, Texas"
3,17,A Separation
3,18,Tropical Malady
3,19,No Country for Old Men
3,20,The Spirit of the Beehive
3,21,Where Is the Friend's House?
3,22,Once Upon a Time in America
3,23,The Conformist
3,24,Reservoir Dogs
3,25,Women on the Verge of a Nervous Breakdown
